p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,based on Scott's 
3.34E-37,4.951131162,0.307,0.019,6.68E-34,8,Shisa6,
7.53E-172,4.881454954,0.596,0.142,1.51E-168,8,Pde11a,
4.39E-21,4.864783106,0.279,0.061,8.78E-18,8,Cntnap2,
0,4.729389604,0.946,0.272,0,8,Adam12,
9.22E-30,4.54044052,0.367,0.077,1.84E-26,8,Olfm2,
0,4.539046241,0.897,0.21,0,8,Bmper,
2.38E-63,4.508549523,0.38,0.051,4.75E-60,8,Ntf3,
3.49E-284,4.422369903,0.733,0.132,6.98E-281,8,Fgf10,
2.00E-20,4.415706498,0.289,0.05,4.00E-17,8,Gm12296,
7.38E-121,4.362768636,0.474,0.115,1.48E-117,8,Gm16263,
9.51E-124,4.313401581,0.359,0.041,1.90E-120,8,Scn8a,
9.12E-67,4.251610849,0.391,0.132,1.82E-63,8,Pappa,
1.07E-208,4.105237235,0.366,0.06,2.14E-205,8,Chrm2,
6.39E-274,4.048182315,0.369,0.045,1.28E-270,8,Gm13832,
4.92E-113,3.919299719,0.477,0.079,9.84E-110,8,Fst,
1.08E-148,3.906635201,0.571,0.136,2.16E-145,8,Adam23,
0,3.723306037,0.821,0.21,0,8,Sned1,
5.41E-116,3.719180004,0.469,0.081,1.08E-112,8,Mme,
2.08E-45,3.627182728,0.321,0.059,4.15E-42,8,Prtg,
0,7.150087577,0.333,0.007,0,9,Il18rap,
4.87E-57,6.971192992,0.306,0.093,9.73E-54,9,Skap1,
8.78E-85,6.963901833,0.273,0.021,1.76E-81,9,Gm2682,
4.56E-57,6.757940802,0.275,0.035,9.13E-54,9,Gm36723,
1.69E-120,6.471674102,0.348,0.045,3.38E-117,9,Klrk1,
1.07E-96,6.103939539,0.462,0.126,2.15E-93,9,Cd226,
6.83E-113,5.88046833,0.373,0.063,1.37E-109,9,Grap2,
1.80E-10,5.729742812,0.273,0.108,3.60E-07,9,Stat4,
8.80E-124,5.637675841,0.306,0.042,1.76E-120,9,Txk,
3.93E-144,5.533592594,0.277,0.031,7.85E-141,9,Klri1,
6.89E-86,5.268995165,0.269,0.045,1.38E-82,9,Aldh1a2,
4.73E-133,5.174908949,0.329,0.039,9.46E-130,9,Nup210,
3.79E-24,5.161469037,0.269,0.062,7.59E-21,9,Oprm1,
2.91E-68,5.080397728,0.333,0.091,5.82E-65,9,Clec2g,
2.55E-25,5.004913045,0.389,0.192,5.10E-22,9,Gm15987,
1.01E-40,4.732799242,0.271,0.071,2.02E-37,9,Ndnf,
7.08E-66,4.707320167,0.48,0.192,1.42E-62,9,Ccr2,
1.48E-60,4.70081859,0.29,0.071,2.97E-57,9,Gpr141,
6.61E-76,4.557187781,0.271,0.049,1.32E-72,9,Sirpb1a,
3.57E-27,4.537100271,0.275,0.081,7.14E-24,9,Plbd1,
0,4.405355143,0.647,0.02,0,10,1700047G03Rik,
8.54E-167,4.174638054,0.286,0.018,1.71E-163,10,Fam81b,
7.52E-131,3.941352685,0.347,0.033,1.50E-127,10,Adam2,
4.46E-49,3.860836236,0.255,0.026,8.93E-46,10,Trim67,
3.08E-239,3.652331091,0.641,0.037,6.16E-236,10,Lctl,
6.94E-17,3.562534742,0.252,0.087,1.39E-13,10,Gprin3,
7.27E-31,3.489231584,0.556,0.081,1.45E-27,10,Ctcflos,
3.61E-05,3.41273644,0.356,0.163,0.072240154,10,Rad18,
1.14E-09,3.317614989,0.347,0.152,2.29E-06,10,Sntb1,
2.18E-73,3.241035704,0.331,0.057,4.36E-70,10,Erbb4,
5.55E-20,3.238820695,0.292,0.047,1.11E-16,10,Kcnb1,
3.53E-103,3.204284644,0.696,0.142,7.05E-100,10,Alas2,
1.59E-05,3.178553576,0.432,0.096,0.031879529,10,Mlxipl,
0.000542435,3.177340494,0.368,0.125,1,10,Art3,
3.00E-12,3.13957178,0.353,0.125,6.00E-09,10,Lgals12,
1.85E-84,3.110843272,0.395,0.045,3.69E-81,10,Esrrg,
0,3.103180814,0.687,0.034,0,10,Cib4,
2.17E-07,3.095582725,0.502,0.138,0.000433803,10,Acvr1c,
4.44E-31,3.075309353,0.261,0.106,8.88E-28,10,A530020G20Rik,
3.99E-07,3.075228373,0.535,0.157,0.000798093,10,Slc1a3,
0,8.71858737,0.701,0.011,0,11,Stac,
0,8.578190619,0.365,0.001,0,11,Olfr78,
0,8.534198346,0.52,0.003,0,11,P2rx1,
8.52E-71,8.020473738,0.502,0.002,1.70E-67,11,Lamc3,
0,7.888723904,0.664,0.002,0,11,H2-M9,
9.92E-144,7.745761883,0.568,0.003,1.98E-140,11,Trpc6,
0,7.528243182,0.435,0.001,0,11,Tmc5,
0,7.518053238,0.775,0.07,0,11,Dgkb,
4.35E-195,7.392505816,0.675,0.042,8.69E-192,11,Chn1,
1.60E-62,7.353162834,0.583,0.047,3.20E-59,11,Ano1,
1.65E-292,7.309676191,0.675,0.028,3.30E-289,11,Gipr,
1.72E-08,6.829539573,0.45,0.017,3.44E-05,11,Daam2,
0,6.620123214,0.712,0.007,0,11,Lmod1,
8.29E-78,6.615128711,0.576,0.035,1.66E-74,11,Cacnb2,
7.11E-96,6.57532706,0.45,0.016,1.42E-92,11,Cap2,
9.00E-117,6.466308139,0.723,0.084,1.80E-113,11,Myh11,
1.34E-08,6.41991269,0.509,0.074,2.68E-05,11,Notch3,
8.09E-294,6.419528355,0.601,0.052,1.62E-290,11,Kcnd3,
2.36E-10,6.335988489,0.339,0.028,4.73E-07,11,Adgrl3,
0.001362977,6.240050543,0.461,0.086,1,11,Il34,
2.23E-19,3.203509944,0.257,0.057,4.45E-16,12,Cd209b,
3.82E-08,2.278423342,0.273,0.15,7.64E-05,12,Cd209g,
2.75E-31,2.26874025,0.513,0.218,5.51E-28,12,Mctp2,
2.41E-43,2.072844884,0.674,0.239,4.82E-40,12,Cd163,
1.90E-18,1.909551811,0.348,0.147,3.81E-15,12,Alox5,
9.71E-24,1.899973936,0.401,0.148,1.94E-20,12,Tox2,
4.96E-33,1.809273473,0.471,0.131,9.92E-30,12,P3h2,
6.77E-34,1.766072346,0.556,0.238,1.35E-30,12,Ms4a8a,
1.00E-14,1.757151044,0.305,0.129,2.00E-11,12,Slc39a12,
8.37E-13,1.747305501,0.332,0.159,1.67E-09,12,Lama3,
1.52E-60,1.733198515,0.989,0.629,3.05E-57,12,Pde7b,
7.00E-64,1.719602524,0.973,0.61,1.40E-60,12,F13a1,
5.59E-56,1.679691579,0.984,0.677,1.12E-52,12,Rbpj,Nature.G1
5.71E-51,1.669052397,0.759,0.32,1.14E-47,12,Susd1,
2.23E-44,1.665609289,0.818,0.433,4.47E-41,12,Cfh,
3.00E-27,1.646600664,0.551,0.259,6.00E-24,12,Slit1,
1.18E-61,1.625700381,0.979,0.593,2.36E-58,12,Mctp1,
1.18E-62,1.614425951,0.973,0.529,2.36E-59,12,Pdgfc,
2.26E-06,1.603275557,0.31,0.212,0.004510641,12,Gfra2,
3.53E-35,1.591735657,0.658,0.318,7.05E-32,12,Ednrb,
7.34E-22,7.842409941,0.333,0.1,1.47E-18,13,Brinp3,
3.51E-58,7.802807016,0.532,0.116,7.01E-55,13,Kif26b,
4.72E-69,7.324961274,0.373,0.045,9.44E-66,13,Col24a1,
8.41E-43,6.383950246,0.452,0.092,1.68E-39,13,Ncam1,
3.27E-77,6.133608312,0.421,0.05,6.54E-74,13,Sorcs2,
5.99E-13,5.882777664,0.302,0.123,1.20E-09,13,Edil3,
3.21E-13,5.846232537,0.357,0.169,6.42E-10,13,Ptn,
4.31E-31,5.553247849,0.294,0.058,8.62E-28,13,Gm13832,
2.44E-50,5.245734657,0.611,0.171,4.88E-47,13,Cdh11,
2.99E-13,5.220298142,0.333,0.147,5.98E-10,13,Tnc,
2.17E-21,5.179828079,0.452,0.193,4.34E-18,13,Col12a1,
1.39E-35,5.124937097,0.405,0.085,2.77E-32,13,Fhl2,
3.79E-25,5.079270328,0.429,0.139,7.59E-22,13,Col8a1,
1.40E-10,5.066857646,0.302,0.142,2.81E-07,13,Pappa,
5.57E-21,5.02349344,0.286,0.067,1.11E-17,13,Zfp385b,
2.10E-19,4.902687756,0.421,0.177,4.20E-16,13,Fbn2,
3.78E-18,4.768089796,0.254,0.061,7.57E-15,13,Gpr176,
9.24E-33,4.741364941,0.452,0.136,1.85E-29,13,B830012L14Rik,
3.32E-62,4.659818853,0.746,0.251,6.64E-59,13,Rian,
1.07E-11,4.609011061,0.31,0.147,2.14E-08,13,Spon1,
0,10.32421544,0.63,0.011,0,14,Tmem233,
0,10.25844988,0.946,0.027,0,14,Mylk4,
2.25E-89,10.17682978,0.891,0.159,4.50E-86,14,Ttn,
2.04E-261,9.540980859,0.848,0.047,4.07E-258,14,Trdn,
0,9.477003775,0.804,0.022,0,14,Mypn,
3.32E-198,9.234665815,0.598,0.004,6.64E-195,14,Sgcg,
1.34E-241,9.143432302,0.772,0.038,2.67E-238,14,Gm49906,
4.45E-121,8.761813047,0.62,0.023,8.90E-118,14,Mlip,
3.42E-148,8.754339888,0.391,0.008,6.84E-145,14,Sox10,
0,8.529630185,0.739,0.011,0,14,Mybpc2,
2.94E-132,8.487410553,0.304,0.001,5.88E-129,14,Gm26673,
1.19E-27,8.48557725,0.446,0.064,2.39E-24,14,Cadm2,
0,8.4130459,0.761,0.015,0,14,Actn3,
7.98E-111,8.369994046,0.272,0.001,1.60E-107,14,Kcnh8,
3.36E-105,8.25719574,0.293,0.012,6.72E-102,14,Rasgef1c,
2.03E-173,8.228933163,0.772,0.044,4.05E-170,14,Slc8a3,
6.17E-62,8.175060718,0.391,0.002,1.23E-58,14,Kcna1,
3.25E-119,8.083445034,0.848,0.101,6.49E-116,14,Atp2a1,
0,7.992386657,0.826,0.036,0,14,Hs3st5,
0,7.919789773,0.663,0.015,0,14,Atcayos,
