"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.9313571848805e-21,1.59859395823307,0.304,0.243,7.862714369761e-18,"2","Gm5150"
3.79595356727856e-17,1.59315506053495,0.401,0.346,7.59190713455713e-14,"2","Gm2245"
1.55343619246732e-31,1.56634298215097,0.287,0.209,3.10687238493464e-28,"2","Shisa9"
1.93302084086860e-09,1.524103211009,0.255,0.224,3.86604168173719e-06,"2","Adra1a"
3.01185190941199e-48,1.4911451842682,0.525,0.433,6.02370381882399e-45,"2","St18"
3.02541099389377e-44,1.44730727719817,0.46,0.355,6.05082198778753e-41,"2","Ly86"
1.03299194035594e-27,1.44239933264216,0.276,0.201,2.06598388071188e-24,"2","Lair1"
2.72484790929888e-66,1.44208183356236,0.614,0.513,5.44969581859777e-63,"2","Adgre1"
1.24401762725981e-31,1.42674808281019,0.433,0.345,2.48803525451962e-28,"2","Atp8b4"
2.91231381885143e-145,1.42616098268092,0.726,0.534,5.82462763770287e-142,"2","Apobec1"
8.98691832916895e-86,1.29976719140719,0.659,0.512,1.79738366583379e-82,"2","Myo1f"
4.06629672135444e-24,1.27317707158947,0.287,0.225,8.13259344270888e-21,"2","Cybb"
1.35285294309108e-65,1.27151450220004,0.601,0.478,2.70570588618216e-62,"2","Dock8"
1.07460253639635e-138,4.70580931924016,0.262,0.079,2.14920507279271e-135,"3","Gm47507"
1.26962618979189e-172,4.54469823177875,0.349,0.119,2.53925237958378e-169,"3","Fat3"
7.2417176331275e-129,4.48556566040855,0.315,0.121,1.4483435266255e-125,"3","Ksr2"
9.92866616440477e-227,4.37408552761948,0.428,0.149,1.98573323288095e-223,"3","Efr3b"
3.1761301340799e-128,4.1541540702733,0.276,0.089,6.35226026815979e-125,"3","Ankdd1a"
7.97196057255505e-127,4.09347867577627,0.314,0.122,1.59439211451101e-123,"3","Ptchd1"
1.68996953034747e-167,3.90696256329017,0.429,0.195,3.37993906069495e-164,"3","Shisa9"
3.57802192757372e-111,3.75635802380538,0.275,0.088,7.15604385514743e-108,"3","4930471E19Rik"
0,3.61433318047303,0.935,0.445,0,"3","Myo1e"
0,3.56660020025611,0.81,0.355,0,"3","Arhgap25"
1.3245630906776e-92,3.54194954650614,0.292,0.131,2.64912618135521e-89,"3","F7"
1.33094273904772e-48,3.54046327731786,0.349,0.248,2.66188547809545e-45,"3","Tnip3"
2.01403186778561e-22,3.4974031512393,0.333,0.296,4.02806373557122e-19,"3","Mmp12"
3.53871897164059e-131,3.47796587853542,0.388,0.175,7.07743794328118e-128,"3","Il7r"
2.62861053632723e-190,3.41150104773745,0.483,0.22,5.25722107265446e-187,"3","Rgs1"
4.42691246553269e-38,3.38322389617107,0.276,0.176,8.85382493106539e-35,"3","Wfs1"
