"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.2982785614937e-87,5.89077395328389,0.269,0.036,6.59655712298739e-84,"5","Fgd5"
4.95504268574446e-05,5.81718408303543,0.391,0.015,0.0991008537148892,"5","Pcdh17"
0.000136928618837094,5.7815005486965,0.45,0.031,0.273857237674189,"5","Flt1"
2.11974757266894e-22,5.77819792669793,0.36,0.069,4.23949514533787e-19,"5","Vwa3a"
1.38577789756292e-36,5.76051965999955,0.319,0.02,2.77155579512584e-33,"5","Btnl9"
0,5.72388212651451,0.561,0.005,0,"5","Lhx6"
0.00617367151779828,5.69237118009739,0.288,0.028,1,"5","Gm26691"
3.53852641879535e-14,5.62995582757321,0.485,0.068,7.07705283759069e-11,"5","Adgrl4"
4.66311424152203e-06,5.61188951953968,0.451,0.028,0.00932622848304406,"5","Ablim3"
7.97418467184781e-265,5.57076697177436,0.344,0.038,1.59483693436956e-261,"6","Gm13832"
7.2713586221601e-70,5.08083226900153,0.371,0.126,1.45427172443202e-66,"6","Pappa"
3.9869553823963e-115,5.04217638615089,0.307,0.087,7.9739107647926e-112,"6","Brinp3"
6.38865408195763e-64,4.98078505465667,0.252,0.046,1.27773081639153e-60,"6","Lypd1"
3.06806023596907e-199,4.65585143494402,0.538,0.134,6.13612047193814e-196,"6","Pde11a"
0,4.61545170907389,0.863,0.261,0,"6","Adam12"
6.7799240008273e-31,4.57098520565472,0.269,0.056,1.35598480016546e-27,"6","Cntnap2"
1.11525519004738e-236,4.56381139574686,0.55,0.142,2.23051038009477e-233,"6","Ccbe1"
1.52235458577339e-34,4.37558894749201,0.297,0.019,3.04470917154678e-31,"6","Tspan11"
1.2616043693559e-169,4.36511261022567,0.495,0.151,2.52320873871179e-166,"6","Cdh11"
2.69459694644396e-43,4.25120872784786,0.312,0.047,5.38919389288792e-40,"6","Ntf3"
0,4.16849916724279,0.731,0.204,0,"6","Bmper"
0,4.08609531988833,0.524,0.087,0,"6","Cyp7b1"
7.25190056079925e-215,4.08321715898818,0.309,0.056,1.45038011215985e-211,"6","Chrm2"
3.17660183386846e-10,4.06086934359289,0.25,0.046,6.35320366773691e-07,"6","Gm12296"
8.67029378115498e-12,3.991873495447,0.286,0.076,1.734058756231e-08,"6","Olfm2"
2.3387502844498e-41,3.9392417412866,0.354,0.115,4.67750056889961e-38,"6","Gm16263"
0,3.92380956029558,0.498,0.092,0,"6","Col27a1"
4.66774164448619e-162,3.89185307742403,0.33,0.046,9.33548328897237e-159,"6","Slc14a2"
7.98035061516464e-148,3.89091256220546,0.531,0.131,1.59607012303293e-144,"6","Fgf10"
1.00112683686622e-61,7.04981583619909,0.269,0.034,2.00225367373244e-58,"7","Gm36723"
0,7.02694156695565,0.32,0.007,0,"7","Il18rap"
8.04206942840847e-81,7.00399696385656,0.254,0.021,1.60841388568169e-77,"7","Gm2682"
1.82980304104687e-54,6.84803455292273,0.288,0.093,3.65960608209375e-51,"7","Skap1"
1.06917826237565e-108,6.32667293555659,0.325,0.045,2.1383565247513e-105,"7","Klrk1"
5.49742396054465e-92,5.98932895508681,0.437,0.125,1.09948479210893e-88,"7","Cd226"
3.53093115765177e-116,5.89812325085907,0.359,0.062,7.06186231530353e-113,"7","Grap2"
3.71531099557286e-12,5.66935974009195,0.269,0.107,7.43062199114571e-09,"7","Stat4"
2.03939405178273e-154,5.64714361406267,0.273,0.03,4.07878810356545e-151,"7","Klri1"
1.77195769132646e-119,5.50068257269229,0.288,0.041,3.54391538265293e-116,"7","Txk"
1.698240872941e-91,5.12098713228492,0.264,0.044,3.39648174588201e-88,"7","Aldh1a2"
1.54259627490263e-29,5.08238132978432,0.391,0.191,3.08519254980526e-26,"7","Gm15987"
9.79167808436512e-69,5.03976220097543,0.323,0.09,1.95833561687302e-65,"7","Clec2g"
1.0561692548997e-135,5.03058520973795,0.316,0.039,2.1123385097994e-132,"7","Nup210"
7.11980593381947e-66,4.97511681997495,0.286,0.071,1.42396118676389e-62,"7","Gpr141"
1.98611269089685e-68,4.67551110087757,0.467,0.191,3.97222538179369e-65,"7","Ccr2"
7.27401636513522e-40,4.58141382410859,0.258,0.071,1.45480327302704e-36,"7","Ndnf"
4.27144606128355e-56,4.56200579982099,0.355,0.128,8.54289212256711e-53,"7","Gpr132"
1.12012109189951e-25,4.50680004547213,0.264,0.081,2.24024218379902e-22,"7","Plbd1"
2.68252528524603e-75,4.43845149218751,0.26,0.049,5.36505057049206e-72,"7","Sirpb1a"
0,9.06706458325905,0.433,0.005,0,"8","Tmem233"
0,8.44716176376251,0.523,0.021,0,"8","Mylk4"
5.4979450633021e-283,8.32953932674252,0.551,0.01,1.09958901266042e-279,"8","Stac"
1.46312745832656e-53,8.21254319879348,0.523,0.155,2.92625491665311e-50,"8","Ttn"
0,8.14828280962448,0.455,0.001,0,"8","P2rx1"
2.43235114533597e-239,7.96503600677862,0.275,0.001,4.86470229067195e-236,"8","Olfr78"
0,7.84397848709628,0.49,0.016,0,"8","Mypn"
0,7.70851042066632,0.336,0.011,0,"8","4930554G24Rik"
0,7.65288186187016,0.504,0.04,0,"8","Trdn"
3.66989958514573e-42,7.58773808745553,0.377,0.002,7.33979917029146e-39,"8","Lamc3"
0,7.45539789862862,0.51,0.002,0,"8","H2-M9"
4.43259315692882e-187,7.41039599709874,0.287,0.001,8.86518631385765e-184,"8","Sgcg"
0,7.39763270091352,0.485,0.032,0,"8","Gm49906"
0,7.35421515686066,0.504,0.007,0,"8","Atcayos"
6.24744503811359e-145,7.33801220654119,0.482,0.002,1.24948900762272e-141,"8","Trpc6"
5.91477062676484e-217,7.24959095071345,0.504,0.012,1.18295412535297e-213,"8","Cap2"
1.73762945192314e-121,7.24030796947454,0.534,0.042,3.47525890384628e-118,"8","Chn1"
0,7.21544374995138,0.658,0.069,0,"8","Dgkb"
0,7.09795279576661,0.325,0.001,0,"8","Tmc5"
0,7.00778816203325,0.556,0.005,0,"8","Rbm24"
3.39173101829405e-08,2.28179912372411,0.263,0.15,6.78346203658811e-05,"9","Cd209g"
1.76332734344309e-33,2.23960711551784,0.502,0.218,3.52665468688619e-30,"9","Mctp2"
1.49343289586352e-25,2.05400293186341,0.394,0.148,2.98686579172705e-22,"9","Tox2"
4.15323297722785e-48,2.04141321197761,0.667,0.238,8.3064659544557e-45,"9","Cd163"
1.25805212954013e-17,1.99801860996896,0.31,0.129,2.51610425908026e-14,"9","Slc39a12"
1.29904784741821e-17,1.84753931487767,0.329,0.147,2.59809569483642e-14,"9","Alox5"
7.82862954870336e-73,1.81565765465532,0.991,0.629,1.56572590974067e-69,"9","Pde7b"
2.13342824749613e-12,1.76939871749352,0.31,0.159,4.26685649499226e-09,"9","Lama3"
9.016950922143e-33,1.7308661733521,0.437,0.131,1.8033901844286e-29,"9","P3h2"
4.05777775529942e-74,1.72358151669904,0.977,0.61,8.11555551059884e-71,"9","F13a1"
3.0330486911917e-34,1.71859740616374,0.535,0.238,6.06609738238341e-31,"9","Ms4a8a"
2.39302064304195e-58,1.68097752457115,0.761,0.32,4.78604128608389e-55,"9","Susd1"
1.14332041670055e-61,1.66042458948582,0.981,0.677,2.28664083340109e-58,"9","Rbpj"
1.83719688447189e-71,1.65618983763265,0.967,0.528,3.67439376894378e-68,"9","Pdgfc"
6.38814981223743e-48,1.64987009226281,0.803,0.432,1.27762996244749e-44,"9","Cfh"
9.31793035267159e-72,1.64109885879421,0.981,0.593,1.86358607053432e-68,"9","Mctp1"
7.4262527694132e-61,1.62249044434249,0.892,0.412,1.48525055388264e-57,"9","Ddx60"
3.86704261131477e-62,1.60113610749162,0.873,0.416,7.73408522262955e-59,"9","Ms4a4a"
7.73832574485646e-27,1.59023702824303,0.526,0.259,1.54766514897129e-23,"9","Slit1"
2.29383787122507e-21,1.55300223636251,0.465,0.234,4.58767574245013e-18,"9","P2ry12"
